Code_INSEE,latitude,longitude,pop,code_dep
85166,46.54133006,-1.788139846,15692,85
85060,46.49259688,-1.72127222,14490,85
91182,48.62163498,2.412880091,13606,91
49065,47.66530595,-0.570426298,5732,49
85224,47.00853682,-1.327667406,4649,85
69211,46.12701638,4.722193083,4597,69
85217,46.93524374,-1.281555073,4352,85
78251,48.8853336,2.055629385,4230,78
1091,46.12933377,5.770176021,3656,1
53014,47.8288252,-0.657885318,3607,53
85027,46.95813067,-1.342748003,3419,85
78524,48.83271866,2.104422271,3371,78
44160,47.37072226,-1.209227397,3022,44
85107,46.96914588,-1.254981839,2890,85
49337,47.58272829,-0.42539538,2611,49
50516,48.66682335,-1.336788436,2446,50
22173,48.53325421,-2.567979564,2251,22
79171,46.97308841,-0.286634323,2212,79
79292,46.99064385,-0.250583529,1893,79
49289,47.45868784,-0.674607472,1854,49
22247,48.72433911,-3.242158514,1747,22
53215,47.80028038,-0.707857178,1708,53
85048,46.91698524,-0.974555173,1596,85
35341,48.41727089,-1.457876431,1586,35
63133,45.7717717,3.238561014,1494,63
50485,49.30359907,-1.217885677,1386,50
49046,47.16591989,-0.054304592,1284,49
73002,45.53289848,6.304497385,1197,73
33267,45.27410805,-0.498919623,1170,33
16344,45.72871782,0.343048614,1161,16
69223,45.893622,4.489406887,1088,69
1205,46.13232027,5.840509851,1080,1
86188,46.35015698,0.189782512,1079,86
79043,47.08375338,-0.281260024,1059,79
22038,48.53984776,-2.971940765,1040,22
22154,48.52029708,-2.6099524,1026,22
79264,46.24287654,-0.112350671,1020,79
35147,48.45461538,-1.830759632,1005,35
27416,48.84279244,1.12161929,1003,27
38121,45.4350655,5.231619209,962,38
72081,48.1969993,0.687448512,961,72
73118,45.49212462,6.030373991,952,73
67014,48.80909097,8.017360909,921,67
49274,47.1946037,-0.050419615,905,49
41257,47.39409203,1.303291982,897,41
14294,49.09671758,-0.2807537,892,14
79279,46.22625026,-0.168528543,889,79
1122,45.94427728,5.608608285,879,1
86021,46.55101497,0.035270524,861,86
85168,46.39413702,-0.661346008,855,85
41092,47.44989916,1.341060488,851,41
79178,46.95585682,-0.175760651,849,79
35303,48.45494197,-1.436300133,838,35
1154,46.33808918,5.192864146,835,1
69147,45.88397223,4.523969238,833,69
86278,46.28314868,0.236630024,824,86
